,movieId,genres,ratingnum,avg_rating
0,1,Adventure|Animation|Children|Comedy|Fantasy,215,3.9209302325581397
1,2,Adventure|Children|Fantasy,110,3.4318181818181817
2,3,Comedy|Romance,52,3.2596153846153846
3,4,Comedy|Drama|Romance,7,2.357142857142857
4,5,Comedy,50,3.01
5,6,Action|Crime|Thriller,102,3.946078431372549
6,7,Comedy|Romance,54,3.185185185185185
7,8,Adventure|Children,8,2.875
8,9,Action,16,3.125
9,10,Action|Adventure|Thriller,132,3.496212121212121
10,11,Comedy|Drama|Romance,70,3.6714285714285713
11,12,Comedy|Horror,19,2.4210526315789473
12,13,Adventure|Animation|Children,8,3.125
13,14,Drama,18,3.8333333333333335
14,15,Action|Adventure|Romance,13,3.0
15,16,Crime|Drama,82,3.926829268292683
16,17,Drama|Romance,67,3.7761194029850746
17,18,Comedy,20,3.7
18,19,Comedy,88,2.727272727272727
19,20,Action|Comedy|Crime|Drama|Thriller,15,2.5
20,21,Comedy|Crime|Thriller,89,3.49438202247191
21,22,Crime|Drama|Horror|Mystery|Thriller,36,3.2222222222222223
22,23,Action|Crime|Thriller,16,3.125
23,24,Drama|Sci-Fi,28,3.125
24,25,Drama|Romance,76,3.625
25,26,Drama,13,3.5
26,27,Children|Drama,9,3.3333333333333335
27,28,Drama|Romance,11,4.2272727272727275
28,29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,38,4.0131578947368425
29,30,Crime|Drama,3,3.0
30,31,Drama,38,3.1842105263157894
31,32,Mystery|Sci-Fi|Thriller,177,3.983050847457627
32,34,Children|Drama,128,3.65234375
33,36,Crime|Drama,67,3.8358208955223883
34,38,Children|Comedy,4,2.125
35,39,Comedy|Romance,104,3.293269230769231
36,40,Drama,2,4.25
37,41,Drama|War,15,3.7
38,42,Action|Crime|Drama,7,3.0
39,43,Drama,8,3.1875
40,44,Action|Adventure|Fantasy,46,2.5434782608695654
41,45,Comedy|Drama|Thriller,32,3.3125
42,46,Drama|Romance,15,3.066666666666667
43,47,Mystery|Thriller,203,3.9753694581280787
44,48,Animation|Children|Drama|Musical|Romance,68,3.1470588235294117
45,49,Drama|Romance,1,3.0
46,50,Crime|Mystery|Thriller,204,4.237745098039215
47,52,Comedy|Drama|Romance,28,3.4642857142857144
48,53,Adventure|Drama,2,5.0
49,54,Children|Comedy,3,2.3333333333333335
50,55,Drama,1,4.0
51,57,Drama,8,3.0625
52,58,Comedy|Drama|Romance,37,4.027027027027027
53,60,Adventure|Children|Fantasy,34,3.235294117647059
54,61,Drama|Thriller,6,3.75
55,62,Drama,80,3.70625
56,63,Comedy|Crime,7,2.7142857142857144
57,64,Comedy|Romance,5,2.2
58,65,Comedy,31,2.532258064516129
59,66,Action|Sci-Fi|Thriller,9,2.5
60,68,Comedy|Romance,5,3.4
61,69,Comedy,20,3.775
62,70,Action|Comedy|Horror|Thriller,55,3.5090909090909093
63,71,Action,5,1.7
64,72,Comedy|Drama,7,3.2142857142857144
65,73,Drama|War,13,3.4615384615384617
66,74,Drama|Romance,8,4.0
67,75,Comedy|Drama,5,2.2
68,76,Action|Sci-Fi|Thriller,15,3.4
69,77,Documentary,1,4.0
70,78,Action|Crime|Drama|Thriller,3,3.3333333333333335
71,79,Drama|Thriller,17,2.764705882352941
72,80,Children|Drama,2,4.0
73,81,Crime|Drama|Romance,14,3.107142857142857
74,82,Comedy|Drama,8,3.875
75,83,Drama|Romance,1,3.0
76,85,Drama|Romance,7,3.857142857142857
77,86,Action|Adventure|Drama,15,3.966666666666667
78,87,Children|Comedy,7,2.5
79,88,Comedy,16,3.15625
80,89,Action|Thriller,10,3.25
81,92,Drama|Horror|Thriller,8,2.625
82,93,Comedy|Horror|Romance,9,2.8333333333333335
83,94,Comedy|Drama|Romance,10,3.95
84,95,Action|Adventure|Thriller,84,3.0238095238095237
85,96,Comedy|Drama,1,3.5
86,97,Crime|Drama,10,3.9
87,99,Documentary,2,5.0
88,100,Drama|Thriller,14,2.7857142857142856
89,101,Adventure|Comedy|Crime|Romance,23,3.782608695652174
90,102,Comedy,5,2.4
91,103,Mystery|Sci-Fi|Thriller,3,3.0
92,104,Comedy,99,3.4393939393939394
93,105,Drama|Romance,23,3.282608695652174
94,106,Comedy|Drama,1,4.0
95,107,Adventure|Children|Comedy|Musical,26,3.326923076923077
96,108,Documentary,1,4.0
97,110,Action|Drama|War,237,4.031645569620253
98,111,Crime|Drama|Thriller,104,4.105769230769231
99,112,Action|Adventure|Comedy|Crime,46,3.5434782608695654
100,113,Drama|Mystery,3,3.3333333333333335
101,116,Documentary,5,3.9
102,117,Crime|Drama,1,3.0
103,118,Comedy|Romance,2,2.5
104,119,Comedy,2,3.0
105,121,Drama,2,4.0
106,122,Comedy|Romance,16,2.65625
107,123,Drama|Mystery|Romance,4,4.375
108,125,Comedy,12,3.5833333333333335
109,126,Adventure|Children|Fantasy,7,2.0
110,128,Documentary,1,3.0
111,129,Comedy|Romance,1,2.0
112,132,Thriller,6,2.8333333333333335
113,135,Comedy,31,2.9516129032258065
114,137,Documentary,1,3.0
115,140,Drama|Romance,16,3.5
116,141,Comedy,86,3.494186046511628
117,144,Comedy,12,3.3333333333333335
118,145,Action|Comedy|Crime|Drama|Thriller,51,3.2450980392156863
119,146,Adventure|Children,3,3.3333333333333335
120,147,Drama,15,3.466666666666667
121,148,Drama,1,5.0
122,149,Crime|Drama|Thriller,1,2.0
123,150,Adventure|Drama|IMAX,201,3.845771144278607
124,151,Action|Drama|Romance|War,44,3.5454545454545454
125,152,Drama|Horror,2,1.5
126,153,Action|Adventure|Comedy|Crime,137,2.9160583941605838
127,154,Drama,12,3.875
128,155,Adventure|Drama|War,6,2.4166666666666665
129,156,Comedy|Drama,3,3.3333333333333335
130,157,Comedy|War,11,2.8636363636363638
131,158,Adventure|Children,62,2.806451612903226
132,159,Crime|Drama|Mystery,14,2.892857142857143
133,160,Action|Adventure|Mystery|Sci-Fi,57,2.8771929824561404
134,161,Drama|Thriller|War,103,3.6359223300970873
135,162,Documentary,17,4.205882352941177
136,163,Action|Romance|Western,66,3.5606060606060606
137,164,Crime|Film-Noir|Mystery|Thriller,14,3.3214285714285716
138,165,Action|Crime|Thriller,144,3.5555555555555554
139,166,Comedy|Crime|Drama,3,2.8333333333333335
140,168,Action|Drama|Romance,54,3.0833333333333335
141,169,Adventure|Children|Drama,10,2.4
142,170,Action|Adventure|Crime|Thriller,35,3.2285714285714286
143,171,Comedy|Drama,6,3.8333333333333335
144,172,Action|Sci-Fi|Thriller,53,2.6792452830188678
145,173,Action|Crime|Sci-Fi,62,2.6693548387096775
146,174,Comedy,10,2.7
147,175,Drama,20,3.975
148,176,Comedy,13,4.3076923076923075
149,177,Horror,8,2.75
150,178,Comedy|Drama,1,1.0
151,179,Drama|Romance,2,1.5
152,180,Comedy|Romance,36,3.4027777777777777
153,181,Action|Children,17,2.264705882352941
154,183,Comedy|Horror|Thriller,2,3.5
155,184,Drama,2,3.5
156,185,Action|Crime|Thriller,112,3.0401785714285716
157,186,Comedy|Romance,48,2.8229166666666665
158,187,Comedy,4,4.125
159,188,Fantasy|Horror|Mystery,12,3.4583333333333335
160,189,Comedy|Fantasy,1,3.0
161,190,Thriller,5,2.8
162,191,Drama|Romance,6,2.4166666666666665
163,193,Drama,35,2.4714285714285715
164,194,Comedy|Drama,18,3.6666666666666665
165,195,Comedy|Drama|Romance,10,3.1
166,196,Horror|Sci-Fi,45,2.6666666666666665
167,198,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,28,3.25
168,199,Drama|Musical|Romance,4,4.125
169,201,Drama|Fantasy,1,3.0
170,202,Drama|Romance,1,3.0
171,203,Comedy,22,3.4318181818181817
172,204,Action,30,2.716666666666667
173,205,Comedy|Drama,9,3.1666666666666665
174,206,Documentary,2,3.0
175,207,Drama|Romance,21,3.4285714285714284
176,208,Action|Adventure|Sci-Fi,115,2.9130434782608696
177,209,Drama,3,3.1666666666666665
178,210,Western,4,3.0
179,211,Drama,2,3.5
180,212,Adventure|Comedy|Crime|Mystery,3,3.0
181,213,Drama,6,3.8333333333333335
182,214,Drama|War,2,4.0
183,215,Drama|Romance,24,4.041666666666667
184,216,Comedy,49,3.326530612244898
185,217,Drama|Thriller,6,2.3333333333333335
186,218,Comedy|Drama,14,3.4285714285714284
187,219,Drama,1,3.0
188,220,Horror,1,3.0
189,222,Drama|Romance,16,3.75
190,223,Comedy,104,3.855769230769231
191,224,Comedy|Drama|Romance,40,3.6125
192,225,Drama|Thriller,52,3.5384615384615383
193,227,Action|Thriller,22,2.8636363636363638
194,228,Comedy,3,2.3333333333333335
195,229,Drama|Thriller,7,3.4285714285714284
196,230,Drama|Thriller,24,3.3958333333333335
197,231,Adventure|Comedy,133,3.0601503759398496
198,232,Comedy|Drama|Romance,14,3.892857142857143
199,233,Drama,12,3.5
200,234,Comedy,17,2.588235294117647
201,235,Comedy|Drama,70,3.6785714285714284
202,236,Action|Comedy|Romance,45,3.477777777777778
203,237,Comedy|Romance,22,3.340909090909091
204,238,Adventure|Children,2,4.0
205,239,Animation|Children|Comedy|Romance,17,3.0
206,240,Thriller,4,2.375
207,241,Children|Drama,1,4.0
208,242,Drama|Musical,5,3.6
209,243,Children|Comedy|Fantasy,1,3.0
210,246,Documentary,29,4.293103448275862
211,247,Crime|Drama,21,3.9285714285714284
212,248,Comedy,17,3.176470588235294
213,249,Drama|Romance,18,3.7222222222222223
214,250,Children|Comedy,6,2.5
215,251,Action,3,3.0
216,252,Comedy|Romance,43,3.453488372093023
217,253,Drama|Horror,109,3.458715596330275
218,254,Drama,1,3.0
219,255,Comedy,7,2.0714285714285716
220,256,Comedy|Sci-Fi,35,2.8285714285714287
221,257,Mystery|Thriller,14,3.5
222,258,Adventure|Children|Comedy|Fantasy|Romance,10,2.6
223,259,Crime|Drama|Thriller,5,3.2
224,260,Action|Adventure|Sci-Fi,251,4.231075697211155
225,261,Drama,42,3.880952380952381
226,262,Children|Drama,21,3.9047619047619047
227,263,Drama,1,4.0
228,265,Drama|Fantasy|Romance,33,3.9393939393939394
229,266,Drama|Romance|War|Western,68,3.3970588235294117
230,267,Comedy,17,2.9411764705882355
231,269,Drama,2,3.0
232,270,Drama|Romance,5,3.4
233,271,Drama,4,3.5
234,272,Comedy|Drama,31,3.7580645161290325
235,273,Drama|Horror|Sci-Fi,28,2.9464285714285716
236,274,Comedy,7,2.9285714285714284
237,275,Comedy,6,2.0
238,276,Comedy|Romance,22,3.25
239,277,Drama,38,3.223684210526316
240,278,Comedy,2,1.5
241,279,Drama,2,3.0
242,280,Drama|Thriller,13,4.076923076923077
243,281,Comedy|Drama|Romance,14,3.7857142857142856
244,282,Drama,40,3.3375
245,283,Crime|Drama,3,3.6666666666666665
246,284,Action|Crime,1,4.5
247,285,Drama|Horror,1,4.0
248,287,Comedy|Romance,1,3.0
249,288,Action|Crime|Thriller,92,3.233695652173913
250,289,Comedy|Romance,8,3.5625
251,290,Crime|Drama,14,4.035714285714286
252,291,Drama|Thriller,3,2.3333333333333335
253,292,Action|Drama|Sci-Fi|Thriller,101,3.4257425742574257
254,293,Action|Crime|Drama|Thriller,133,4.018796992481203
255,294,Comedy|Romance,2,3.0
256,295,Comedy|Romance,1,3.0
257,296,Comedy|Crime|Drama|Thriller,307,4.197068403908795
258,298,Drama,1,2.0
259,299,Drama,4,4.0
260,300,Drama,81,3.5185185185185186
261,301,Drama|Romance,1,4.0
262,302,Drama|Romance,5,3.2
263,303,Action|Thriller|Western,32,2.953125
264,304,Comedy|Drama,3,3.6666666666666665
265,305,Comedy,9,2.8333333333333335
266,306,Drama,16,4.21875
267,307,Drama,24,3.8958333333333335
268,308,Comedy|Drama,20,4.025
269,310,Comedy,1,3.0
270,311,Horror|Thriller,1,3.0
271,312,Comedy,9,1.4444444444444444
272,313,Animation|Children,3,3.3333333333333335
